username,followers,following,tier,relevance_text_score,relevance_score,audience_intent_score,content_depth_score,engagement_quality_score,topic_signal_score,final_score,weight_relevance,weight_audience_intent,weight_engagement_quality,weight_content_depth,text_confidence,comment_confidence,post_confidence,confidence_score,confidence_grade,needs_review,review_reason,relevance_reason,audience_intent_reason,content_depth_reason,why_selected,sample_caption,sample_comment_1,sample_comment_2,post_count,comment_count,median_engagement_rate,tier_rank,overall_rank
al.mindful.therapist,41698,1924,micro,0.9,0.66,0.5,0.5,0.0,0.5,0.4148,0.3425,0.245,0.28,0.1325,0.25,0.0,0.0,0.1125,low,False,,Bio clearly indicates mental health focus with 'somatic trauma therapist' and 'nervous system care'.,"No comments provided, thus can't evaluate audience intent.","No captions provided, thus can't evaluate depth.","Relevance 0.66, audience intent 0.50, content depth 0.50, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.11).",,comment 1,comment 2,0,0,0.0,1,23
jeniferfreedy_psychotherapist,12833,7528,micro,0.9,0.6162,0.5,0.5,0.0,0.375,0.3998,0.3425,0.245,0.28,0.1325,0.25,0.0,0.0,0.1125,low,False,,Bio clearly indicates mental health focus with therapy and trauma specialization.,"No comment samples provided, assuming generic well-wishing or acknowledgements.","No caption samples provided, assuming generic therapy-related content.","Relevance 0.62, audience intent 0.50, content depth 0.50, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.11).",,comment 1,comment 2,0,0,0.0,2,29
brittanyantoinette,8100,3359,micro,0.8,0.5763,0.5,0.5,0.0,0.375,0.379,0.3275,0.263,0.292,0.1175,0.19,0.0,0.0,0.0855,low,False,,"Bio indicates mental health focus, but no caption samples provided for review.",No comment samples provided for review.,No caption samples provided for review.,"Relevance 0.58, audience intent 0.50, content depth 0.50, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.09).",,,,0,0,0.0,4,36
preschooltherapist,17426,364,micro,0.8,0.5325,0.5,0.5,0.0,0.25,0.3711,0.3425,0.245,0.28,0.1325,0.25,0.0,0.0,0.1125,low,False,,Bio indicates mental health focus on early childhood therapy and advocacy.,"No comments provided, thus no audience intent evaluation.","No captions provided, thus no depth evaluation.","Relevance 0.53, audience intent 0.50, content depth 0.50, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.11).",,,,0,0,0.0,8,42
somethingnewwithshanti,11822,2039,micro,0.8,0.5325,0.5,0.5,0.0,0.25,0.3711,0.3425,0.245,0.28,0.1325,0.25,0.0,0.0,0.1125,low,False,,Bio states therapist and trauma therapist for millennial women.,"No comments provided, assuming neutral intent based on limited information.","Caption samples not provided, assuming generic based on profile description.","Relevance 0.53, audience intent 0.50, content depth 0.50, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.11).",,,,0,0,0.0,9,45
maristracke,47727,1306,micro,0.8,0.5325,0.5,0.5,0.0,0.25,0.3711,0.3425,0.245,0.28,0.1325,0.25,0.0,0.0,0.1125,low,False,,Bio indicates mental health focus and personal experience with PTSD.,"No comment samples provided, assuming a mix of supportive comments and generic comments based on common influencer practices.","No caption samples provided, assuming generic motivational quotes or similar based on common influencer practices.","Relevance 0.53, audience intent 0.50, content depth 0.50, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.11).",,,,0,0,0.0,7,47
cafe.convo.therapy,11134,183,micro,0.8,0.5325,0.5,0.5,0.0,0.25,0.3711,0.3425,0.245,0.28,0.1325,0.25,0.0,0.0,0.1125,low,False,,"Bio mentions mental health and EMDR, which are relevant topics.","No comment samples provided, assuming neutral based on bio.","No caption samples provided, assuming generic based on bio.","Relevance 0.53, audience intent 0.50, content depth 0.50, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.11).",,,,0,0,0.0,6,48
the.mom.therapist,45924,1414,micro,0.8,0.5325,0.5,0.5,0.0,0.25,0.3711,0.3425,0.245,0.28,0.1325,0.25,0.0,0.0,0.1125,low,False,,Bio indicates mental health focus and relevant certifications.,"No comment samples provided, assuming neutral based on provided information.","No caption samples provided, assuming generic based on bio and account description.","Relevance 0.53, audience intent 0.50, content depth 0.50, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.11).",,,,0,0,0.0,5,49
blkfolxtherapy,22513,141,micro,0.9,0.5288,0.5,0.5,0.0,0.125,0.3698,0.3425,0.245,0.28,0.1325,0.25,0.0,0.0,0.1125,low,False,,Bio explicitly states mental health focus on Black folx with clear goals.,"No comment samples provided, assuming average help-seeking, emotional sharing, trust.","No caption samples provided, assuming generic level of depth.","Relevance 0.53, audience intent 0.50, content depth 0.50, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.11).",,comment 1,comment 2,0,0,0.0,10,50
sportsfoodandmentalhealth,49730,1605,micro,0.7,0.4925,0.5,0.5,0.0,0.25,0.3574,0.3425,0.245,0.28,0.1325,0.25,0.0,0.0,0.1125,low,False,,Bio states Coach and Therapist with Mental Health focus.,"No comment samples provided, assuming generic engagement.","No caption samples provided, assuming generic advice.","Relevance 0.49, audience intent 0.50, content depth 0.50, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.11).",,comment 1,comment 2,0,0,0.0,12,53
