username,followers,following,tier,relevance_text_score,relevance_score,audience_intent_score,content_depth_score,engagement_quality_score,topic_signal_score,final_score,weight_relevance,weight_audience_intent,weight_engagement_quality,weight_content_depth,text_confidence,comment_confidence,post_confidence,confidence_score,confidence_grade,needs_review,review_reason,relevance_reason,audience_intent_reason,content_depth_reason,why_selected,sample_caption,sample_comment_1,sample_comment_2,post_count,comment_count,median_engagement_rate,tier_rank,overall_rank
mentalhealthmatch,32172,2570,micro,0.9,0.925,0.7,0.8,0.0051,1.0,0.6548,0.35,0.3,0.2,0.15,0.91,1.0,0.95,0.9495,high,False,,Instagram account focuses on mental health with a variety of related topics and resources.,"Comments show engagement and agreement, but few personal experiences or help-seeking behaviors.","Captions show depth with specific examples, explanations, and calls to action for mental health workshops.","Relevance 0.93, audience intent 0.70, content depth 0.80, engagement quality 0.01. Median engagement rate 0.04% across 19 posts. Confidence high (0.95).","Is your inner voice a meanie?⁠
⁠
Let’s talk about that voice in your head that thinks it’s the boss — and how to stop letting it run the whole damn show.⁠
⁠",#InnerCritic #SelfTalkCheck #mentalhealth #wellness #innervoice #reclaimyourpower,Such an important and timely workshop!,19,37,0.000435,1,2
13handsequine,7407,4051,micro,0.2,0.1563,0.3,0.5,0.2372,0.025,0.2671,0.35,0.3,0.2,0.15,1.0,1.0,0.95,0.99,high,False,,The account is primarily about horse rescue and not focused on mental health.,Comments are generally positive and supportive but do not show clear signs of help-seeking or emotional sharing.,The captions are informative but lack depth in terms of mental health specifics or personal insights.,"Relevance 0.16, audience intent 0.30, content depth 0.50, engagement quality 0.24. Median engagement rate 0.97% across 19 posts. Confidence high (0.99).","The trot of a former cart horse. Meet Skip.
He moves and looks much younger than he is, and despite having worked throughout his life, he’s still missing some of the basic skills needed to be adoptable. Now training with @13hands_ann, he’s finally getting the chance to learn at his own pace. Building confidence, getting more comfortable around huma",I just want to hug and kiss him❤️❤️❤️,oh he’s beautiful!,19,40,0.009721,2,20
anxietyjosh,244524,2034,mid,0.9,0.9042,0.7,0.8,0.211,0.9167,0.6887,0.35,0.3,0.2,0.15,0.9092,1.0,0.85,0.9291,high,False,,"The account is primarily focused on mental health, specifically anxiety and OCD, with a mix of personal experience and professional advice.","Comments show help-seeking, emotional sharing, and trust, but not as strongly as the account content itself.","The captions provide specific insights into the nature of anxiety and offer guidance on coping strategies, but sometimes lack originality.","Relevance 0.90, audience intent 0.70, content depth 0.80, engagement quality 0.21. Median engagement rate 0.34% across 17 posts. Confidence high (0.93).","The Panic Pod: Morning Checking Compulsions. Each time we check how we feel, we send signals to the brain that anxiety is not ok!","How do you change that inner monitoring? If i try to not do it, i just start resisting and monitoring the monitoring. And it feels even more like i am stuck in self focus","I feel scared, worried, concerned it will get worse.  Healthy anxiety is crippling at times.  Pair it with perimenopause and I feel like I am just getting worse.  Now my skin burns and now I think it is several things.  Just feel sad and hopeless",17,40,0.003378,1,1
talkspace,150197,519,mid,0.9,0.8063,0.7,0.8,0.0002,0.525,0.6122,0.35,0.3,0.2,0.15,1.0,1.0,0.8,0.96,high,False,,Instagram account focuses on promoting mental health care services and shares stories of individuals who have benefited from therapy.,"Comments show engagement and emotional connection, but not explicitly seeking help or sharing personal struggles.","Captions provide specific examples and insights about mental health, but could go further in-depth and avoid some promotional language.","Relevance 0.81, audience intent 0.70, content depth 0.80, engagement quality 0.00. Median engagement rate 0.00% across 16 posts. Confidence high (0.96).",There’s no topic too small or too big to discuss in #therapy.,Mindfulness tools can truly help shift perspective and ease anxiety. Small practices make a big difference.,We all need someone to let it all out🧡🫂,16,40,2e-05,2,3
therapynotebooks,66956,353,mid,0.9,0.8333,0.5,0.7,0.1935,0.6333,0.5854,0.35,0.3,0.2,0.15,0.985,1.0,0.95,0.9832,high,False,,"The account is mostly about mental health, but it also promotes products","Comments show some emotional sharing and trust, but also some unrelated questions and comments","While the captions provide specific advice and explain mental health concepts, they also sometimes promote products","Relevance 0.83, audience intent 0.50, content depth 0.70, engagement quality 0.19. Median engagement rate 0.18% across 19 posts. Confidence high (0.98).","Use this when you’re anxious - even if you don’t have an Anti-Anxiety Notebook.

So, how does CBT work? The 3 C’s are an easy way to understand AND remember how it works.
~𝐂𝐀𝐓𝐂𝐇 your unhelpful thoughts. The sooner you catch them, the sooner you can stop them in their tracks.
~𝐂𝐇𝐀𝐋𝐋𝐄𝐍𝐆𝐄 them. Ask yourself, “Is this helpful thinking?” “Is this thinki",I'm confused as to whether cbt ir dbt is more effective.,I truly need this as I’m about to come back from working in a hot place back to uk and i sense the lower moods coming,19,40,0.001807,3,6
therapyforwomen,464692,988,mid,0.8,0.8188,0.6,0.7,0.0063,0.875,0.5728,0.35,0.3,0.2,0.15,1.0,1.0,0.65,0.93,high,False,,"The account is primarily focused on therapy and mental health, but also promotes the podcast and personal brand, which slightly lowers the relevance score.","Comments show engagement and appreciation for the content, but there are fewer examples of help-seeking or emotional sharing compared to other mental health accounts.","The captions often provide insightful information and psychoeducation, but sometimes lack specific examples or personal stories, making them slightly less in-depth.","Relevance 0.82, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.05% across 13 posts. Confidence high (0.93).","As alcohol consumption has dropped (a great thing!), people are starting to push back now and claim we should be drinking more!

AKA this is because similar to tobacco, alcohol is a big money maker and they have lobbyists, who are trying to prevent these companies from losing money. 

Alcohol does NOT help you calm down long term. It does not regul",This is some of my favorite psychoeducation for my clients who are considering cutting back or stopping entirely!,I am 7 months sober today. Informative videos like this keep me going ✨🩷,13,40,0.00054,4,7
mentalhealthamerica,296015,818,mid,0.9,0.7375,0.6,0.7,0.1435,0.25,0.5718,0.35,0.3,0.2,0.15,0.8147,1.0,1.0,0.9166,high,False,,"The account is dedicated to mental health and well-being, and provides crisis support resources.","Comments show support and agreement, but fewer instances of help-seeking or emotional sharing.","Captions are specific to mental health and well-being, but could provide more in-depth advice or personal stories.","Relevance 0.74, audience intent 0.60, content depth 0.70, engagement quality 0.14. Median engagement rate 0.17% across 20 posts. Confidence high (0.92).","Today, tomorrow, and every day after. 🤍",Never forget: you are worthy of happiness 🫶✨,Honestly I'm struggling and finding anything to like about myself during the lows is very hard.,20,40,0.001691,5,9
betterhelp,616637,324,macro,0.9,0.8854,0.6,0.7,0.0091,0.8417,0.5967,0.35,0.3,0.2,0.15,0.94,1.0,0.65,0.903,high,False,,"The account focuses on mental health, but also promotes the brand and partnerships.","Comments show support and engagement, but not all demonstrate help-seeking or emotional sharing.","Captions are specific to mental health, but some lack depth and originality.","Relevance 0.89, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.08% across 13 posts. Confidence high (0.90).","Open Up To Me.

Appreciate every moment how it is, with the people you love. Because you’ll never know when its gone 🫂

#OpenUpToMe #MentalHealthMatters #MentalHealthAwareness #Mindfulness #Connection",I still carry guilt from my divorce not fair to the kids,@overgenpoverty thank you for be so real and transparent . 👏 literally going to listen to this NOW!,13,40,0.000782,1,4
mindcharity,565692,277,macro,0.9,0.8625,0.6,0.7,0.0092,0.75,0.5887,0.35,0.3,0.2,0.15,1.0,1.0,0.75,0.95,high,False,,"Instagram account is for a mental health charity, but occasionally shares content about events and partnerships which are not directly related to mental health.","Comments show support, encouragement, and sharing of personal experiences, but not always explicitly seeking help or showing strong emotional sharing.","Captions often contain personal stories, advice, and quotes related to mental health, but sometimes the content can be quite general or motivational, rather than insightful or specific.","Relevance 0.86, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.08% across 15 posts. Confidence high (0.95).",We sat down with @miquitaoliver for International Women’s Day.,❤️❤️❤️❤️❤️,I love this Tanya ❤️,15,40,0.000787,2,5
sitwithwhit,566204,594,macro,0.9,0.8104,0.6,0.7,0.0181,0.5417,0.5723,0.35,0.3,0.2,0.15,0.95,1.0,1.0,0.9775,high,False,,"Instagram account focuses on family dynamics, estrangement, and mental health support.","Comments show engagement and appreciation for the content, but few express help-seeking or emotional sharing.","Captions are specific to the author's experiences and mental health work, but lack deep insight or originality.","Relevance 0.81, audience intent 0.60, content depth 0.70, engagement quality 0.02. Median engagement rate 0.16% across 20 posts. Confidence high (0.98).",A lot of you messaged me about my post yesterday. Thank you so much for all the kind words and your thoughts on this topic!! I turned this into a video too if that’s more your speed.,Lol they cant bully their own kids because they are estranged so they come here to bully you instead. Keep doing what youre doing!!! 👏,"The deep loneliness and raw pain that happens when it's your own family doing this to you personally is undescribable. It almost makes you suicidal at times, even now as an adult with a family of my own. So it's so good that you are advocating for people like me and you can put w",20,40,0.001552,3,8
