username,followers,following,tier,relevance_text_score,relevance_score,audience_intent_score,content_depth_score,engagement_quality_score,topic_signal_score,final_score,weight_relevance,weight_audience_intent,weight_engagement_quality,weight_content_depth,text_confidence,comment_confidence,post_confidence,confidence_score,confidence_grade,needs_review,review_reason,relevance_reason,audience_intent_reason,content_depth_reason,why_selected,sample_caption,sample_comment_1,sample_comment_2,post_count,comment_count,median_engagement_rate
anxietyjosh,244525,2034,mid,0.9,0.925,0.7,0.8,0.211,1.0,0.696,0.35,0.3,0.2,0.15,0.9634,1.0,0.85,0.9535,high,False,,"Bio and posts are primarily about mental health, specifically anxiety and OCD.","Comments show help-seeking, emotional sharing, and trust, but not as strongly as other accounts focused on mental health issues.","Posts provide specific insights from personal experience and therapy, but some are more generic or motivational in nature.","Relevance 0.93, audience intent 0.70, content depth 0.80, engagement quality 0.21. Median engagement rate 0.34% across 17 posts. Confidence high (0.95).",Most anxiety advice online.,@anxietyjosh my 10 yr old daughter is showing signs of anxiety (big what-if thinker). Do you have any tips on how to balance the 'do it anyway ' approach with not causing her to feel she isnt supported or burning her out.,I’ve been suffering with menopausal anxiety for the past year never in my 53 years have I suffered with this 😥! Getting help has been insane as it’s such a physical feeling not thought based 😥😥,17,40,0.003378
mentalhealthmatch,32171,2570,micro,0.9,0.925,0.7,0.8,0.0051,1.0,0.6548,0.35,0.3,0.2,0.15,0.91,1.0,0.95,0.9495,high,False,,Account focuses on mental health with clear connection to therapy and self-care.,"Comments show engagement and appreciation, but few express personal experiences or help-seeking.","Posts offer specific and insightful advice, though could benefit from more personal experiences.","Relevance 0.93, audience intent 0.70, content depth 0.80, engagement quality 0.01. Median engagement rate 0.04% across 19 posts. Confidence high (0.95).","Family systems aren't easy to navigate. Add a pinch of politics, and you can get yourself a wild fire. ⁠
⁠
Learn more about the emotional implications of polarization and how to navigate these divisive times within your own family at our upcoming workshop. ⁠
Link in bio for all the details!⁠
⁠
Original video by @natashalevinger⁠
⁠",❤️🔥🔥🔥,#politics #polarizedtimes #mentalhealth #findingpeace #boundaries #familyconflicts #therapy,19,37,0.000435
talkspace,150195,519,mid,0.9,0.8063,0.7,0.8,0.0002,0.525,0.6122,0.35,0.3,0.2,0.15,1.0,1.0,0.8,0.96,high,False,,The account is primarily about mental health with a focus on therapy and seeking help.,"Comments show support and engagement, but not all demonstrate help-seeking or emotional sharing.","Captions show specific examples and benefits of therapy, but could go more in-depth into mental health topics.","Relevance 0.81, audience intent 0.70, content depth 0.80, engagement quality 0.00. Median engagement rate 0.00% across 16 posts. Confidence high (0.96).",There’s no topic too small or too big to discuss in #therapy.,I love hearing the personal stories. Keep going Queen ❤️,"Absolutely, having a safe space to share your thoughts and feelings can make a big difference. Therapy can be that outlet for many people. 💚",16,40,2e-05
betterhelp,616648,324,macro,0.9,0.8854,0.6,0.7,0.0091,0.8417,0.5967,0.35,0.3,0.2,0.15,0.94,1.0,0.65,0.903,high,False,,"The account is mostly about mental health, but it also promotes the brand and partnerships.","Comments show some emotional sharing and trust, but not as strongly as help-seeking or deep emotional expression.","The captions often provide insightful information and personal stories, but sometimes they are promotional or generic.","Relevance 0.89, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.08% across 13 posts. Confidence high (0.90).","Open Up To Me.

Appreciate every moment how it is, with the people you love. Because you’ll never know when its gone 🫂

#OpenUpToMe #MentalHealthMatters #MentalHealthAwareness #Mindfulness #Connection",I still carry guilt from my divorce not fair to the kids,So proud of @rachel.domb,13,40,0.000782
the.holistic.psychologist,9071593,1764,major,0.9,0.8729,0.6,0.7,0.0221,0.7917,0.5949,0.35,0.3,0.2,0.15,0.98,1.0,0.85,0.961,high,False,,"The account is primarily about self-help and personal growth, with a focus on mental health and healing. However, there is also a significant promotion of the user's book and related products.","Comments show help-seeking, emotional sharing, and trust, but there are also comments related to book giveaways and waiting lists, which dilute the mental health focus.","The captions often provide specific insights and original perspectives, but they can also be promotional and include generic advice at times.","Relevance 0.87, audience intent 0.60, content depth 0.70, engagement quality 0.02. Median engagement rate 0.19% across 17 posts. Confidence high (0.96).","BOOKMARK this so you know when someone is using DARVO. 

Next month inside SelfHealers Circle, we’re going deep on one of the MOST requested topics in our community: narcissism.
We’re talking full workshops, live therapy groups, workbooks, and real tools everything you need to finally understand what happened to you, stop the cycle, and rebuild.

I",Thank you 😢. This is hard when your abusive parent is now elderly and in need of help but continues to DARVO.,I feel so disrespected because what world do you live in where you think $532 would inc,17,40,0.001896
therapynotebooks,66956,353,mid,0.9,0.8333,0.5,0.7,0.1935,0.6333,0.5854,0.35,0.3,0.2,0.15,0.985,1.0,0.95,0.9832,high,False,,"Instagram account focuses on mental health tools and resources, aligned with the mental health influencer pipeline.","Comments show engagement with products and curiosity about mental health, but lack explicit expressions of help-seeking or emotional sharing.","Captions provide specific mental health techniques and concepts, but could delve deeper into personal experiences and insights.","Relevance 0.83, audience intent 0.50, content depth 0.70, engagement quality 0.19. Median engagement rate 0.18% across 19 posts. Confidence high (0.98).","Before you say anything, try this exercise just once when you’re anxious. When you’re feeling overwhelmed, this exercise shows you the difference between telling and PROVING something to yourself. “It’s not a big deal” doesn’t mean much unless you can make yourself believe it.

#mentalhealthawareness #anxiety #feelbetter",I am waiting for my anxiety journal now!!,I just use step 1 as extra space for step 2 when I don’t know what caused it but it usually works itself out as I go along!,19,40,0.001807
theanxietyhealer,639241,2657,macro,0.8,0.85,0.6,0.7,0.0004,1.0,0.5826,0.35,0.3,0.2,0.15,1.0,1.0,1.0,1.0,high,False,,"The account is not exclusively about mental health, but it does touch upon anxiety and grief, which are mental health issues.","The comments show some emotional sharing and trust, but there are also many comments that are off-topic or do not demonstrate help-seeking behavior.","The captions are specific to the author's experiences and provide some insight, but they could be more in-depth and offer more guidance or resources for mental health support.","Relevance 0.85, audience intent 0.60, content depth 0.70, engagement quality 0.00. Median engagement rate 0.00% across 20 posts. Confidence high (1.00).","Nobody told me grief could feel exactly like an anxiety disorder.

I found out the hard way…after my dad died and my body completely fell apart in ways I didn’t know how to explain.

I wasn’t weeping all day. I was wired. Restless. Unable to settle. Convinced something else was wrong with me.

Spoiler: nothing else was wrong with me. I just hadn’t ",Yup this is me. But it’s grief about being childless single woman. I feel like I’m dying. I’ve convinced myself I’m dying.,the part about a different timeline not meaning a lesser life genuinely hit me. it takes so much courage to say these things out loud and i think a lot of women needed to hear this today,20,40,3.3e-05
mindcharity,565699,277,macro,0.9,0.8313,0.6,0.7,0.0092,0.625,0.5778,0.35,0.3,0.2,0.15,1.0,1.0,0.75,0.95,high,False,,Bio and many captions show mental health focus.,"Comments show support and engagement, but not as many help-seeking or emotional sharing examples.","Some captions are specific and insightful, while others are more generic.","Relevance 0.83, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.08% across 15 posts. Confidence high (0.95).",We asked @austyn_farrell what he’d tell his 16-year-old self about mental health. He had an incredibly powerful answer to share 🩵,Beautiful words 💚💚💚💚💚,Love this message @austyn_farrell 👏👏👏,15,40,0.000787
selfcareisforeveryone,1029790,1297,macro,0.8,0.725,0.7,0.6,0.0002,0.5,0.5538,0.35,0.3,0.2,0.15,1.0,1.0,1.0,1.0,high,False,,"Instagram account focuses on self-care and mental health, but also promotes products and collaborations.","Comments show engagement and appreciation for the content, and some express emotional sharing and trust, but there are also promotional comments.","Captions provide specific examples of self-care and encourage self-compassion, but lack in-depth exploration of mental health topics.","Relevance 0.73, audience intent 0.70, content depth 0.60, engagement quality 0.00. Median engagement rate 0.00% across 20 posts. Confidence high (1.00).","the self-care effect 🤍 self-care isn’t a filter you turn on and suddenly everything is bright again.

sometimes it’s crying first.
sometimes it’s staying.
sometimes it’s choosing to take one small step when your brain says “what’s the point?”

it doesn’t erase pain.
it doesn’t fix everything overnight.
but it can gently shift you from surviving the","I really need to talk to a someone I can nolonger handle these dark days, i feel like ending my life can I talk to someone please","Love this. It’s easy to get caught up in everything around us, but this is a great reminder to come back to ourselves.",20,40,2e-05
sitwithwhit,566211,594,macro,0.9,0.7479,0.6,0.7,0.0181,0.2917,0.5504,0.35,0.3,0.2,0.15,0.95,1.0,1.0,0.9775,high,False,,Bio and captions clearly indicate mental health focus on family dynamics and personal growth.,"Comments show engagement and appreciation, but few express personal experiences or help-seeking intentions.","Captions provide specific insights into family dynamics and personal growth, but lack originality in addressing common issues.","Relevance 0.75, audience intent 0.60, content depth 0.70, engagement quality 0.02. Median engagement rate 0.16% across 20 posts. Confidence high (0.98).","If we haven't met, I'm Whitney! I created @callinghome.co because family dysfunction is exhausting & you deserve support. Calling Home helps you build a better family. Join The Family Cyclebreakers Club® & listen to @thecallinghomepodcast. Comment MEMBER to join us.

PS. I am on maternity leave until June 1 and I'm not on here much. All posts have ",Thank you for what you do to help people help themselves.,I always get excited to see you talk about enmeshment. So many people have never heard of it!,20,40,0.001552
mentalhealthamerica,296020,818,mid,0.8,0.6313,0.7,0.6,0.1435,0.125,0.5496,0.35,0.3,0.2,0.15,0.8673,1.0,1.0,0.9403,high,False,,"Instagram account is mostly about mental health and well-being, but also includes some non-mental health content like ASMR and inspirational quotes.","Comments show support, agreement, and gratitude, indicating that the audience finds the content helpful and relatable. Some comments show help-seeking or emotional sharing, indicating a strong audience intent.","Captions are generally positive and uplifting, but not always specific or insightful. They could provide more context, examples, or personal experiences to increase depth.","Relevance 0.63, audience intent 0.70, content depth 0.60, engagement quality 0.14. Median engagement rate 0.17% across 20 posts. Confidence high (0.94).","Goodbye, February. 👋",Brighter days are ahead!!,Needed this,20,40,0.001691
therapyjeff,1522073,1254,major,0.8,0.6729,0.5,0.6,0.3125,0.2917,0.538,0.35,0.3,0.2,0.15,0.8678,1.0,0.95,0.9305,high,False,,"Instagram account focuses on relationships and therapy, but also incorporates political and social commentary.","Comments show a range of engagement, but not all demonstrate help-seeking or emotional sharing.","Captions are specific and detailed, but sometimes veer into generic relationship advice and political commentary.","Relevance 0.67, audience intent 0.50, content depth 0.60, engagement quality 0.31. Median engagement rate 1.30% across 19 posts. Confidence high (0.93).","The president of the United States got on social media this morning and said a whole civilization will die tonight. 

#mentalhealth #therapy","Thank you, we need to be  compassionate over ( the insanity) we all need peace",I wish I didn't survive it tbh. Shouldn't have. Now im just older and in the same place. Literally told it's my fault for not knowing how to feel love.,19,40,0.012982
