username,followers,following,tier,relevance_text_score,relevance_score,audience_intent_score,content_depth_score,engagement_quality_score,topic_signal_score,final_score,weight_relevance,weight_audience_intent,weight_engagement_quality,weight_content_depth,text_confidence,comment_confidence,post_confidence,confidence_score,confidence_grade,needs_review,review_reason,relevance_reason,audience_intent_reason,content_depth_reason,why_selected,sample_caption,sample_comment_1,sample_comment_2,post_count,comment_count,median_engagement_rate
the.holistic.psychologist,9071555,1773,major,0.9,0.8,0.7,0.8,0.268,0.5,0.6636,0.35,0.3,0.2,0.15,0.93,1.0,0.35,0.8385,high,False,,"The account is mostly about self-healing and personal growth, with a focus on covert narcissism. However, it also includes some content about general motivation and wellbeing, which is why it's not a full 1.0 for relevance.","The comments show that some followers are seeking help and sharing their personal experiences, but many others are simply expressing agreement or appreciation. There are also some spam comments, which lowers the score.","The captions are specific and insightful, providing detailed explanations of complex psychological concepts. They go beyond generic advice and offer original perspectives on healing and personal growth.","Relevance 0.80, audience intent 0.70, content depth 0.80, engagement quality 0.27. Median engagement rate 0.22% across 7 posts. Confidence high (0.84).","Bookmark this one it breaks down covert narcissism fully.

@selfhealerscircle members: next month, we have some incredible workshops and exclusive content on covert narcissism. This is one of our most requested topics! To secure your spot comment “WAITLIST” then check your DM. You’ll be the first to get a chance to join #selfhealers","I just had an on & off relationship for about 3yrs with a covert narcissist. He married a person he had longer history with, they went to college together. Married her a week after my birthday last month.","When I finally understood that my biggest flaw was learned from her about over sacrificing, I was able to finally stop trading love for over giving. I reclaim my voice, my power to choose, my power to set and hold boundaries. Our parents teachings are not always bad, but how deep",7,20,0.00223
mentalhealthmatch,32209,2569,micro,0.9,0.8375,0.6,0.7,0.1568,0.65,0.6095,0.35,0.3,0.2,0.15,0.91,0.65,0.4,0.717,medium,False,,Instagram account focuses on mental health through promoting therapy and hosting mental health workshops.,"Comments show engagement and agreement, but few express help-seeking or emotional sharing.","Captions provide specific mental health concepts and strategies, but could benefit from more personal insights and experiences.","Relevance 0.84, audience intent 0.60, content depth 0.70, engagement quality 0.16. Median engagement rate 0.06% across 8 posts. Confidence medium (0.72).","💐Announcing our free community events series!💐⁠
⁠
Weekly(ish) events from our expert therapists...⁠
⁠
✅️ Explain simple mental health concepts⁠
✅️ Help you to implement them in the everyday⁠
✅️ Provide an opportunity to hear from people learning the same things⁠
⁠
We'd love to see you there. (Link in bio!)⁠
⁠
⁠
#psychology #selfcompassion #mentalwe",Hmmmm something’s missing here #community,#therapy #findyourtherapist #mentalhealth #depression #anxiety,8,13,0.000559
therapyforwomen,465045,996,mid,0.8,0.7563,0.6,0.7,0.0093,0.625,0.5516,0.35,0.3,0.2,0.15,0.9,1.0,0.3,0.815,high,False,,"Account focuses on therapy and mental health, but also promotes podcast and related content which slightly dilutes the mental health focus.","Comments show engagement with mental health topics, but not as much help-seeking or emotional sharing as desired.","Captions provide informative and specific mental health content, but lack deep exploration of complex topics.","Relevance 0.76, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.08% across 6 posts. Confidence high (0.81).","As alcohol consumption has dropped (a great thing!), people are starting to push back now and claim we should be drinking more!

AKA this is because similar to tobacco, alcohol is a big money maker and they have lobbyists, who are trying to prevent these companies from losing money. 

Alcohol does NOT help you calm down long term. It does not regul",I am 7 months sober today. Informative videos like this keep me going ✨🩷,I stopped drinking because it stopped giving me whatever relaxation even before the hangover hit,6,20,0.000801
sitwithwhit,566745,595,macro,0.8,0.6625,0.7,0.6,0.0358,0.25,0.539,0.35,0.3,0.2,0.15,0.8,1.0,0.35,0.78,high,False,,"The account is primarily promoting a mental health related service and podcast, but also has brand/product promotion in the bio and captions.","The comments show help-seeking, emotional sharing, and trust towards the account and its services, indicating a mental health related intent.","The captions are specific to the account's services and podcast, but lack in-depth mental health advice or personal experiences.","Relevance 0.66, audience intent 0.70, content depth 0.60, engagement quality 0.04. Median engagement rate 0.08% across 7 posts. Confidence high (0.78).","If we haven't met, I'm Whitney! I created @callinghome.co because family dysfunction is exhausting & you deserve support. Calling Home helps you build a better family. Join The Family Cyclebreakers Club® & listen to @thecallinghomepodcast. Comment MEMBER to join us.

PS. I am on maternity leave until June 1 and I'm not on here much. All posts have ",This woman is monster. Fair warning.,I was the truth teller in my family. Then I married my husband and became the truth teller in their family as well. I am not popular. 😂,7,20,0.000805
nedratawwab,1831481,248,major,0.6,0.5125,0.5,0.6,0.0034,0.25,0.4201,0.35,0.3,0.2,0.15,0.8641,1.0,0.35,0.8088,high,False,,"Bio and some posts are related to relationships, but not specific to mental health.","Comments show engagement and agreement, but not explicitly seeking help or sharing emotional experiences.","Captions are generally motivational and provide some insights, but lack depth and specificity in mental health education.","Relevance 0.51, audience intent 0.50, content depth 0.60, engagement quality 0.00. Median engagement rate 0.03% across 7 posts. Confidence high (0.81).","Leaving stress and returning to the same situation will prolong a cycle. Modify what you can in your daily life. 

#nedranuggets",I was getting to burnout and realized I was doing ALOT of work on my own and it dawned on me I needed to hire an agency to offload the work so 1) I could get more done 2) help me be less stressed.,"This hits deep, self-care is how we thrive. @peacefulpower101",7,20,0.000291
thegoodquote,23300232,17,major,0.6,0.405,0.3,0.4,0.3019,0.0,0.3521,0.35,0.3,0.2,0.15,0.4234,0.35,0.05,0.323,low,False,,"Mental health is a component of the account's focus, but not the exclusive focus.","Comments show some engagement, but not significant emotional sharing or help-seeking behavior.","Captions are relatively generic and lack specific, insightful details about mental health experiences or coping strategies.","Relevance 0.40, audience intent 0.30, content depth 0.40, engagement quality 0.30. Median engagement rate 0.02% across 1 posts. Confidence low (0.32).","The importance of enforcing you boundaries 
@earthtoroxanne sits down with @jayshetty 🌻
Full video on YouTube",WORD!,So true 💪🏻,1,7,0.000167
therapyjeff,1523923,1258,major,0.1667,0.2604,0.125,0.3253,0.0896,0.5417,0.1953,0.35,0.3,0.2,0.15,0.6418,1.0,0.35,0.7088,medium,False,,heuristic fallback based on bio/caption topical language,heuristic fallback from comment help-seeking language,heuristic fallback based on caption specificity and length,"Relevance 0.26, audience intent 0.12, content depth 0.33, engagement quality 0.09. Median engagement rate 0.77% across 7 posts. Confidence medium (0.71).","5 questions I get pushback from you turds about 

#mentalhealth #therapy #relationshiptips #dating #datingadvice","#4 is SO SMART and kinda just blew my mind a bit, I so lean toward just bringing everything up but can also have maaaajor relationship anxiety but actually asking the person if they'd like me to talk about it had never occured to me before!!",Why would you want to tell your partner that it's ok to cheat and not tell you. That seems like a bad precedent.,7,20,0.007676
mindsettherapy,17,0,nano,0.5,0.2438,0.0,0.0,0.0,0.125,0.0705,0.2894,0.3088,0.3225,0.0794,0.0375,0.0,0.0,0.0169,low,False,,Generic and unclear bio,No comment samples provided,No caption samples provided,"Relevance 0.24, audience intent 0.00, content depth 0.00, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.02).",,,,0,0,0.0
mindful__living,8,4,nano,0.2,0.08,0.0,0.0,0.0,0.0,0.0237,0.2963,0.3005,0.317,0.0862,0.065,0.0,0.0,0.0293,low,False,,No mention of mental health in bio or captions.,No comments provided for evaluation.,No captions provided for evaluation.,"Relevance 0.08, audience intent 0.00, content depth 0.00, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.03).",,,,0,0,0.0
108659242498155,0,0,nano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.32,0.33,0.07,0.0,0.0,0.0,0.0,low,False,,heuristic fallback based on bio/caption topical language,heuristic fallback from comment help-seeking language,heuristic fallback based on caption specificity and length,"Relevance 0.00, audience intent 0.00, content depth 0.00, engagement quality 0.00. Median engagement rate 0.00% across 0 posts. Confidence low (0.00).",,,,0,0,0.0
