username,followers,following,tier,relevance_text_score,relevance_score,audience_intent_score,content_depth_score,engagement_quality_score,topic_signal_score,final_score,weight_relevance,weight_audience_intent,weight_engagement_quality,weight_content_depth,text_confidence,comment_confidence,post_confidence,confidence_score,confidence_grade,needs_review,review_reason,relevance_reason,audience_intent_reason,content_depth_reason,why_selected,sample_caption,sample_comment_1,sample_comment_2,post_count,comment_count,median_engagement_rate
kellyu,215311,911,mid,0.8,0.6729,0.7,0.6,0.6705,0.2917,0.6696,0.35,0.3,0.2,0.15,0.65,0.35,0.05,0.425,low,True,"Low data confidence, but behavioral signals are strong; manual review recommended.",Account focuses on mental health topics but also promotes products and services.,"Comments show emotional sharing and trust, but not all are help-seeking.",Captions are somewhat insightful but can be more specific and original.,"Relevance 0.67, audience intent 0.70, content depth 0.60, engagement quality 0.67. Median engagement rate 3.18% across 1 posts. Confidence low (0.42).","people love having an “emotionally mature friend.”

but they rarely ask how that friend became that way.

episode 6 of my series, breaking the rules i grew up with.

you can start therapy with BetterHelp at the link in my bio, if and when you’re ready ❤️

#ad #BetterHelpPartner",i relate to this sm 🥹💗,so proud of you and all you learn and share with others 🥹,1,7,0.031754
the.holistic.psychologist,9071595,1764,major,0.9,0.925,0.7,0.8,0.0221,1.0,0.6582,0.35,0.3,0.2,0.15,0.98,1.0,0.85,0.961,high,False,,"The account is mostly about mental health, focusing on self-healing, personal growth, and therapy. However, it also promotes the account owner's book frequently, which slightly lowers the relevance score.","Comments indicate that followers engage with the content on an emotional level, sharing personal stories and seeking guidance. However, not all comments show clear signs of help-seeking or trust, which is why the score is relatively lower.","The captions are detailed and specific, providing insights into personal experiences and therapeutic concepts. They could be more original at times, as some captions resemble generic motivation quotes or advice, but overall, they show depth and thoughtfulness.","Relevance 0.93, audience intent 0.70, content depth 0.80, engagement quality 0.02. Median engagement rate 0.19% across 17 posts. Confidence high (0.96).","Limerence sometimes begins with an emotionally reactive parent as a survival response. A child cannot risk perceiving their parent as unsafe, so the brain learns to selectively hold onto only the positive and dissociate from what feels threatening or scary. This neurological blueprint doesn’t stay in childhood. It travels into adult relationships w","I did that for many ,many years",thank you. i nov begin to understand what happened to me in my last relationship - maybe in all of them but the last one was the hardest and i really struggled too much to walk away.,17,40,0.001896
betterhelp,616650,324,macro,0.9,0.9104,0.7,0.8,0.0091,0.9417,0.6505,0.35,0.3,0.2,0.15,0.94,1.0,0.65,0.903,high,False,,The account is primarily mental-health focused with a clear mission to make therapy accessible and addressing various mental health topics.,"Comments show help-seeking, emotional sharing, and trust, indicating that the audience perceives the account as a safe space for mental health discussions.","Captions are specific and original, providing insights into mental health issues and coping strategies, though some could be more in-depth.","Relevance 0.91, audience intent 0.70, content depth 0.80, engagement quality 0.01. Median engagement rate 0.08% across 13 posts. Confidence high (0.90).","“It felt embarrassing to ask for help.”

So Viviana stayed quiet.

On Season 2, Episode 1 of ""Mind If We Talk?"", Viviana Vazquez, founder of OverGenPoverty, sits down with host and BetterHelp therapist, Sreela Roy-Greene, to share what happened when she finally opened up to her partner about her financial past and why she still couldn’t accept his ",Aww 🥰 Viviana the way he looks at you is with so much love and kindness ❤️,I still carry guilt from my divorce not fair to the kids,13,40,0.000782
drkojosarfo,720610,4793,macro,0.8,0.6,0.7,0.6,0.6003,0.0,0.6301,0.35,0.3,0.2,0.15,0.6905,1.0,0.95,0.8507,high,False,,"Instagram account is primarily focused on neurodivergent struggles, which is related to mental health.","Comments show emotional sharing and trust, but not as much help-seeking behavior.",Captions are specific to neurodivergent experiences but could provide more insightful or original content.,"Relevance 0.60, audience intent 0.70, content depth 0.60, engagement quality 0.60. Median engagement rate 5.15% across 19 posts. Confidence high (0.85).",Do you follow the rules or find a way around them? #audhd #drkojo,New word unlocked 😭,"Most people with autism, ADHD or AuDHD do have some sort of psychosomatic speech impediment (i.e. difficulties communicating under perceived stress) and I want to clarify it's not our logical brains that decide what the stressor is so we can't go - in this EXAMPLE - 'just give hi",19,40,0.051452
millennial.therapist,1763654,512,major,0.9,0.7792,0.8,0.7,0.0455,0.4167,0.6268,0.35,0.3,0.2,0.15,0.7141,1.0,1.0,0.8713,high,False,,Bio and captions are primarily mental-health focused.,"Comments show help-seeking, emotional sharing, and trust in the account owner.","Captions provide some insightful and specific advice, but could be more original and less reliant on hashtags.","Relevance 0.78, audience intent 0.80, content depth 0.70, engagement quality 0.05. Median engagement rate 0.18% across 20 posts. Confidence high (0.87).",Don’t confuse someone’s desire to be with you with their capacity to love you the way you deserve. #millennialtherapist,22 years and I've turned into the person she is speaking about. 😢,"I miss that man, I texted him the other day because I thought I saw him on his motorcycle but it wasn’t him. I now regret that text, it was like I never mattered. There was no warning or preparation for when he ended things, the grief still feels as strong as it did that day.",20,40,0.001828
myeasytherapy,1318650,1301,macro,0.9,0.8271,0.7,0.8,0.0073,0.6083,0.6209,0.35,0.3,0.2,0.15,1.0,1.0,0.8,0.96,high,False,,"Bio and posts are primarily about mental health, specifically anxiety and overthinking.","Comments show help-seeking and emotional sharing, but not always explicitly directed towards the account owner.","Posts provide specific insights into mental health issues, but sometimes lack originality.","Relevance 0.83, audience intent 0.70, content depth 0.80, engagement quality 0.01. Median engagement rate 0.06% across 16 posts. Confidence high (0.96).","1. You overthink and over-prepare for future events because your mind is trying to protect you from something going wrong. It feels like control, but it often leaves you more tense.⁠
⁠
2. Feeling calm or worry-free feels strange. The moment life feels peaceful, your brain starts scanning for something to stress about.⁠
⁠
3. You’re capable of making",This feels so familiar for so many people 👀,No matter how hard I try. 🤍,16,40,0.00063
raquelmartinphd,872539,5273,macro,0.9,0.7542,0.7,0.8,0.0413,0.3167,0.6022,0.35,0.3,0.2,0.15,0.9325,1.0,0.95,0.9596,high,False,,Bio and many posts are mental-health focused.,"Comments show emotional support, engagement, and agreement.",Posts show industry expertise and specific insights.,"Relevance 0.75, audience intent 0.70, content depth 0.80, engagement quality 0.04. Median engagement rate 0.35% across 19 posts. Confidence high (0.96).",Am I trippin? I went to both concerts and I don’t remember six inch. And I WOULD remember six inch because it’s one of my favorite songs. He talking bout Act III right?,I cannot believe this is happening. My best friend died during conversion torture. My heart is broken.,Thank you for talking about this. We should all be having more conversations about it.,19,40,0.003538
drjulie,2195484,2660,major,0.9,0.8229,0.6,0.7,0.0641,0.5917,0.5858,0.35,0.3,0.2,0.15,1.0,1.0,0.8,0.96,high,False,,"The account is a Clinical Psychologist and a NYT Bestselling Author, focusing on mental health topics in the bio and captions.","Comments show engagement and emotional sharing, but not explicitly help-seeking or trust towards the account.","While the captions are specific to mental health topics, they don't always provide in-depth or original guidance, often promoting the author's books instead.","Relevance 0.82, audience intent 0.60, content depth 0.70, engagement quality 0.06. Median engagement rate 0.55% across 16 posts. Confidence high (0.96).","ad. The last one is my favourite way to de-stress on the commute. I always want to turn up for work events replenished and ready to be at my best. On the way home I do the same to return to calm after being on high alert all day. As I often have to travel on noisy trains and planes, Samsung let me try the new Galaxy Buds4 Pro, which has the most ad",❤️❤️❤️,"This highlights an important point—recovery from stress isn’t just about stopping work, but actively helping the nervous system downshift through movement, quiet, and connection.",16,40,0.005498
thebraincoach,1680564,518,major,0.8,0.825,0.5,0.6,0.1029,0.9,0.5493,0.35,0.3,0.2,0.15,1.0,1.0,1.0,1.0,high,False,,Bio indicates clinical background and interest in mental health.,"Comments show some engagement, but not strongly indicative of help-seeking or emotional sharing.","Some posts provide mental health insights, while others are more generic or motivational.","Relevance 0.83, audience intent 0.50, content depth 0.60, engagement quality 0.10. Median engagement rate 0.00% across 20 posts. Confidence high (1.00).",happy love day ♥️,I learn so much here and I feel seen. Ty for free education.,Starting small and showing self-compassion really helps break the cycle.,20,40,3.5e-05
dralexgeorge,2200938,527,major,0.8,0.7354,0.6,0.6,0.054,0.5417,0.5382,0.35,0.3,0.2,0.15,1.0,1.0,1.0,1.0,high,False,,"The account focuses on mental health, neurodiversity, and personal experiences, but also includes sponsored content and non-mental health posts.","Comments show support, appreciation, and shared experiences, but not explicitly seeking help or sharing strong emotions.","The captions provide some insight into the account holder's personal experiences and mental health journey, but could delve deeper and provide more original guidance.","Relevance 0.74, audience intent 0.60, content depth 0.60, engagement quality 0.05. Median engagement rate 0.20% across 20 posts. Confidence high (1.00).","This is an underrated skill that could completely change your life.

Here are a few ways I’m learning to sit with uncertainty. Send this to someone it might help 💙 

1.⁠ ⁠When things feel especially negative, I respond to my fears “maybe, maybe not” to acknowledge that I don’t know how everything will play out and that’s ok. This technique is used ","Gosh, so vital to share this indeed! ❤️👏",Please keep talking about autism we should not have to hide our autism diagnosis we should be allowed to talk about autism thank you please keep sharing about autism ❤️,20,40,0.001993
