username,followers,following,tier,relevance_text_score,relevance_score,audience_intent_score,content_depth_score,engagement_quality_score,topic_signal_score,final_score,weight_relevance,weight_audience_intent,weight_engagement_quality,weight_content_depth,text_confidence,comment_confidence,post_confidence,confidence_score,confidence_grade,needs_review,review_reason,relevance_reason,audience_intent_reason,content_depth_reason,why_selected,sample_caption,sample_comment_1,sample_comment_2,post_count,comment_count,median_engagement_rate,tier_rank,overall_rank
mentalhealthmatch,32165,2571,micro,0.9,0.7854,0.6,0.7,0.0073,0.4417,0.5613,0.35,0.3,0.2,0.15,0.86,0.9,0.35,0.772,high,False,,"Instagram account focuses on therapy and mental health, but also includes some off-topic posts (cheese, fighting well in relationships)","Comments show some engagement with mental health topics, but also include off-topic and non-help-seeking comments","Captions provide specific insights and advice, but sometimes veer into more general territory","Relevance 0.79, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.06% across 7 posts. Confidence high (0.77).","Making the decision to start (or resume) therapy is the first step towards a better relationship with yourself and the world.⁠
⁠
We built MHM to help people find the right therapist, not just any therapist. The #1 reason that people thrive in therapy comes down to their relationship with their therapist. ⁠
⁠
Tap the link in our bio to get started (",Written and requested by Planet Earth  ChatGPT AI technology Grok  Pain and suffering and Nona Petriashvili  Any  XAI And Others  through Nona Petriashvili,#therapy #mentalhealthtips #anxious,7,18,0.000622,1,7
therapyforwomen,464596,988,mid,0.9,0.8063,0.7,0.8,0.0852,0.525,0.6292,0.35,0.3,0.2,0.15,1.0,1.0,0.4,0.88,high,False,,"Bio and many caption samples show clear focus on mental health, therapy, and personal growth.","Comments show emotional sharing and seeking connection, but not explicitly help-seeking or trust.","Captions show some insight, specificity, and originality, but also include some generic phrases and advice.","Relevance 0.81, audience intent 0.70, content depth 0.80, engagement quality 0.09. Median engagement rate 0.73% across 8 posts. Confidence high (0.88).",What healing really means ❤️‍🩹,the 'pain as a visitor' part quietly shifted something for me today 🌾,Most people think healing means the hard things stop hurting. But you know you’ve actually healed when the hard thing happens and you don’t abandon yourself in the middle of it. You still feel it. You just don’t let it make decisions for you anymore. That’s the real marker. 🐾,8,20,0.007301,1,2
mentalhealthamerica,295976,818,mid,0.9,0.9042,0.5,0.6,0.1689,0.9167,0.5902,0.35,0.3,0.2,0.15,1.0,1.0,0.4,0.88,high,False,,"The account is mostly about mental health and well-being, but it also shares content about related causes like Autism and Sexual Assault Awareness.","Comments show support and appreciation, but not many help-seeking or emotional sharing instances. The audience seems to value the content but may not feel encouraged to open up about their experiences.","Captions are generally positive and supportive, but not always very specific or insightful. They could provide more depth and personal experiences to engage the audience further.","Relevance 0.90, audience intent 0.50, content depth 0.60, engagement quality 0.17. Median engagement rate 0.50% across 8 posts. Confidence high (0.88).","However you’re showing up right now, it’s enough. You’re enough. 🩷",Such an important message,This is a message that I think many people need to hear right now,8,20,0.005029,2,5
active_minds,71607,1370,mid,0.9,0.6813,0.6,0.7,0.0285,0.025,0.5291,0.35,0.3,0.2,0.15,0.845,1.0,0.4,0.8102,high,False,,"Instagram account is mostly about mental health, but also promotes events and collaborations which slightly lowers the relevance score.","Comments show support and agreement, but there are limited examples of help-seeking or emotional sharing which could increase the audience intent score.","Captions are specific to mental health and provide guidance, but lack detailed insights and personal experiences which could improve the content depth score.","Relevance 0.68, audience intent 0.60, content depth 0.70, engagement quality 0.03. Median engagement rate 0.24% across 8 posts. Confidence high (0.81).",💚,You deserve self-care 🫶🫶 It will never be selfish,"In future posts, will you be including more tips/tricks for self care? I’m a grad student following along on your social media journey and look forward to seeing how your resources evolve!",8,20,0.002444,3,9
therapynotebooks,66963,352,mid,0.5,0.4188,0.2,0.3,0.2525,0.175,0.3021,0.35,0.3,0.2,0.15,0.835,1.0,0.25,0.7757,high,False,,"Account focuses on selling mental health tools, not primarily focused on mental health education or lived experience.",Comments show more interest in collaborations and product issues than seeking mental health help or sharing emotional experiences.,"Captions are mostly about promoting products, not providing insightful or specific mental health guidance.","Relevance 0.42, audience intent 0.20, content depth 0.30, engagement quality 0.25. Median engagement rate 0.90% across 5 posts. Confidence high (0.78).","BLACK FRIDAY SALE: 20% Off Site-Wide + Buy 2,�Get 1 FREE⁠
⁠
Don't miss the best deal of the year! Stack our limited time offers and save up to 47% when you buy 3, 6, or 9 notebooks.⁠
⁠
Offer available for a limited time only. Cannot be combined with any other offers. See link in bio to shop.",Love this🤍,I’d love to collaborate 🙌❤️,5,20,0.00905,4,13
mindcharity,565654,278,macro,0.9,0.8104,0.8,0.7,0.0368,0.5417,0.636,0.35,0.3,0.2,0.15,0.9018,1.0,0.35,0.8258,high,False,,Bio and many captions are mental-health focused.,"Many comments show help-seeking, emotional sharing, and trust.","Some captions are specific and insightful, while others are more generic.","Relevance 0.81, audience intent 0.80, content depth 0.70, engagement quality 0.04. Median engagement rate 0.32% across 7 posts. Confidence high (0.83).","If you're feeling a little overwhelmed right now, with work, school, or life as a whole, that's okay. Remember to be kind to yourself and take time to acknowledge any thoughts or feelings coming up.

If you need us, you know where we are.","The problem is, there’s too many thoughts and feelings 🤷‍♀️","Yup, I’ve been really overwhelmed with life (been unwell for over a month and severe anxiety)",7,20,0.003154,1,1
sitwithwhit,566122,594,macro,0.9,0.7479,0.8,0.7,0.0162,0.2917,0.61,0.35,0.3,0.2,0.15,0.95,1.0,0.4,0.8575,high,False,,"The account is primarily about mental health, specifically focusing on family estrangement and dysfunction.","Comments show help-seeking, emotional sharing, and trust, indicating a strong mental health intent.","While the captions are specific to the account's niche, they could provide more insightful and original content to help the audience better cope with their situations.","Relevance 0.75, audience intent 0.80, content depth 0.70, engagement quality 0.02. Median engagement rate 0.14% across 8 posts. Confidence high (0.86).","This month @callinghome.co were helping people who have made the decision to become estranged from a family member and are ready to move forward.

This is for the person who knows this is what they need right now. They aren’t contemplating a decision (our estranged adult child group and adult children of emotionally immature parents group is good i",I thought when I was diagnosed as autistic aged 42 that it would force my parents to treat me differently...,"My dads wife died of cancer and I think he got worse - more lies, more gaslighting and more deception to get needs met. Sad.",8,20,0.001388,2,4
selfcareisforeveryone,1029848,1296,macro,0.8,0.6729,0.7,0.6,0.1248,0.2917,0.5605,0.35,0.3,0.2,0.15,0.95,1.0,0.35,0.8475,high,False,,"Bio and captions show a focus on self-care and mental health, but it's not the exclusive focus.","Comments show a mix of engagement and appreciation, with a few expressing personal struggles and seeking support.","Captions are generally positive and uplifting, but not always deeply insightful or original. They do show some depth in discussing growth and self-care.","Relevance 0.67, audience intent 0.70, content depth 0.60, engagement quality 0.12. Median engagement rate 0.00% across 7 posts. Confidence high (0.85).",tag the person you want to remind 🪴🐈‍⬛,"Right now I’m in a very hard situation after violence, and I’m struggling to cover basic needs for me and my child.","I personally can’t nap after a nearly fatal TBI. I love it, when you promote rest though! We all need rest!",7,20,1.7e-05,3,8
theanxietyhealer,639194,2657,macro,0.6,0.6125,0.2,0.4,0.0304,0.65,0.3405,0.35,0.3,0.2,0.15,1.0,1.0,0.4,0.88,high,False,,"Content is not primarily mental-health focused, but occasionally touches on mental health topics such as anxiety.","Comments show low intent for seeking help or sharing emotions, and are more focused on humor, engagement, or self-promotion.","Captions are generally not very insightful or specific, often consisting of jokes, hashtags, or prompts for engagement.","Relevance 0.61, audience intent 0.20, content depth 0.40, engagement quality 0.03. Median engagement rate 0.26% across 8 posts. Confidence high (0.88).",i saw this post from @wittyidiot and needed to share!! Which Golden Girl are you? #over40women #over50women #over60women,Im in,"I already have the farmhouse on a mountain with a pool, gym and vineyard. 💁🏼‍♀️",8,20,0.002604,4,12
therapyjeff,1520482,1250,major,0.7,0.6396,0.8,0.6,0.2962,0.4583,0.6131,0.35,0.3,0.2,0.15,0.7153,1.0,0.4,0.7519,high,False,,"Instagram account focuses on relationships, but also incorporates mental health hashtags and discussions.","Comments show help-seeking, emotional sharing, and trust towards the account owner.",Captions provide some original insights but often reference generic advice or relationship tips.,"Relevance 0.64, audience intent 0.80, content depth 0.60, engagement quality 0.30. Median engagement rate 0.97% across 8 posts. Confidence high (0.75).","5 things to keep in mind if you’re the villain in someone else’s story

#mentalhealth #therapy #relationshiptips #dating",Let them be wrong about you. You just keep on shining as you do.,Thank you for this video @therapyjeff …. I really really really soooooooooooo really needed to hear this since my mother and entire extended family sans my dad.,8,20,0.009666,1,3
