username,followers,following,tier,relevance_text_score,relevance_score,audience_intent_score,content_depth_score,engagement_quality_score,topic_signal_score,final_score,weight_relevance,weight_audience_intent,weight_engagement_quality,weight_content_depth,text_confidence,comment_confidence,post_confidence,confidence_score,confidence_grade,needs_review,review_reason,relevance_reason,audience_intent_reason,content_depth_reason,why_selected,sample_caption,sample_comment_1,sample_comment_2,post_count,comment_count,median_engagement_rate,tier_rank,overall_rank
mentalhealthmatch,32172,2570,micro,0.9,0.925,0.7,0.8,0.0051,1.0,0.6548,0.35,0.3,0.2,0.15,0.91,1.0,0.95,0.9495,high,False,,"The account focuses on mental health by providing therapy resources, mental wellbeing tips, and related content in most posts.","Comments show engagement and appreciation, but there are fewer instances of help-seeking or emotional sharing compared to the other criteria.","The captions are specific and offer insights into mental health topics, although some posts contain more generic advice or promote community events.","Relevance 0.93, audience intent 0.70, content depth 0.80, engagement quality 0.01. Median engagement rate 0.04% across 19 posts. Confidence high (0.95).","Is your inner voice a meanie?⁠
⁠
Let’s talk about that voice in your head that thinks it’s the boss — and how to stop letting it run the whole damn show.⁠
⁠",👏👏👏👏,Hmmmm something’s missing here #community,19,37,0.000435,1,2
anxietyjosh,244524,2034,mid,0.9,0.9042,0.8,0.8,0.211,0.9167,0.7187,0.35,0.3,0.2,0.15,0.9098,1.0,0.85,0.9294,high,False,,Bio and posts are primarily mental-health focused with a clear emphasis on anxiety and OCD.,"Comments show help-seeking, emotional sharing, and trust, indicating a strong mental-health focus in the audience.","Posts provide specific insights into the experience and management of anxiety, although some are more generic or motivational in nature.","Relevance 0.90, audience intent 0.80, content depth 0.80, engagement quality 0.21. Median engagement rate 0.34% across 17 posts. Confidence high (0.93).",Most anxiety advice online.,@anxietyjosh my 10 yr old daughter is showing signs of anxiety (big what-if thinker). Do you have any tips on how to balance the 'do it anyway ' approach with not causing her to feel she isnt supported or burning her out.,What if there is a real threat? Anxiety is a survival reaction isn’t it? Isn’t it a shock response? I’m in high anxiety due to redundancy as a single income household. I am in danger,17,40,0.003378,1,1
therapynotebooks,66956,353,mid,0.9,0.8583,0.6,0.7,0.1935,0.7333,0.6241,0.35,0.3,0.2,0.15,0.985,1.0,0.95,0.9832,high,False,,"The account focuses on mental health tools and CBT, which are mental-health related.","Comments show interest, need, and gratitude towards the products, but not explicitly expressing help-seeking or emotional sharing towards the account itself.","While the captions are specific to their products, they do provide some context and explanation about CBT and its techniques.","Relevance 0.86, audience intent 0.60, content depth 0.70, engagement quality 0.19. Median engagement rate 0.18% across 19 posts. Confidence high (0.98).","Summer is a busy time with the potential for routine disruptions and changes. It's common for these transition moments to feel more difficult, but when we're having trouble getting back into the swing of things, it's understandable to feel frustrated. Doing an entry in The Anti-Anxiety Notebook can help you take a step back and understand what's go",I truly need this as I’m about to come back from working in a hot place back to uk and i sense the lower moods coming,I’m confused as to whether cbt ir dbt is more effective...,19,40,0.001807,2,3
talkspace,150195,519,mid,0.9,0.8063,0.7,0.8,0.0002,0.525,0.6122,0.35,0.3,0.2,0.15,1.0,1.0,0.8,0.96,high,False,,Instagram account focuses on mental health through the promotion of therapy and mental health care services.,"Comments show engagement and emotional sharing, but not explicitly seeking help or expressing trust in the influencer.","Captions provide specific examples and insights from therapy, but could go further in-depth and originality.","Relevance 0.81, audience intent 0.70, content depth 0.80, engagement quality 0.00. Median engagement rate 0.00% across 16 posts. Confidence high (0.96).","“Remembering that we’re a team, you know, we’re not one against the other. One isn’t right and one isn’t wrong, it’s ‘we are one’.”

Yenori and Adam don’t believe in divorce. They believe it’s important to know how to work together at all times, which isn’t always easy when parenting three children. Therapy has helped them learn when and how to com",Mindfulness tools can truly help shift perspective and ease anxiety. Small practices make a big difference.,I love hearing the personal stories. Keep going Queen ❤️,16,40,2e-05,3,4
mentalhealthamerica,296019,818,mid,0.9,0.7375,0.7,0.6,0.1435,0.25,0.5868,0.35,0.3,0.2,0.15,0.8652,1.0,1.0,0.9393,high,False,,"The account is mostly mental-health focused, but also includes some content about prevention and support which is not primary mental-health content.","The comments show help-seeking, emotional sharing, and trust, but not as strongly as some other accounts.","The captions are generally specific and original, but sometimes lack depth and insight.","Relevance 0.74, audience intent 0.70, content depth 0.60, engagement quality 0.14. Median engagement rate 0.17% across 20 posts. Confidence high (0.94).",This feeling is temporary. You can get through this. 🩵,"Your worth isn't measured by what you produce, it’s found in who you are when you’re simply being.",Honestly I'm struggling and finding anything to like about myself during the lows is very hard.,20,40,0.001691,4,7
therapyforwomen,464698,988,mid,0.8,0.8188,0.6,0.7,0.0063,0.875,0.5728,0.35,0.3,0.2,0.15,1.0,1.0,0.65,0.93,high,False,,"The account is primarily about therapy and mental health, but also includes content about other topics such as baked goods and Disney world.","The comments show some help-seeking and emotional sharing, but also include general supportive comments and off-topic discussions.","The captions often provide specific and insightful information, but sometimes include generic content such as jokes and challenges.","Relevance 0.82, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.05% across 13 posts. Confidence high (0.93).","The incredible @nedratawwab is on the Nuance Needed podcast today!

This is a jam packed episode filled with incredible insight…
- why she wrote her new book, The Balancing Act
- her tips for hard conversations 
- the overuse of word codependency 
- the myth that we only need one person 
- and SO much more! 

Listen to podcast and be sure to check ",This was a theme yesterday in all of my sessions. I love when I find content to back up the discussions in real time!!,I am 7 months sober today. Informative videos like this keep me going ✨🩷,13,40,0.00054,5,9
betterhelp,616644,324,macro,0.9,0.9104,0.6,0.7,0.0091,0.9417,0.6055,0.35,0.3,0.2,0.15,0.94,1.0,0.65,0.903,high,False,,The account is mostly about mental health with a focus on therapy and support.,"Comments show some emotional sharing and trust, but not strongly indicative of help-seeking behavior.","While the captions are specific to mental health, they are not consistently insightful or original, often promoting the service or specific episodes.","Relevance 0.91, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.08% across 13 posts. Confidence high (0.90).","The end of another year is almost here... and sometimes it comes with a year's worth of heaviness. 

But here's the thing: you don't have to carry it all alone. And you certainly don't need a ""new you."" 

Match with a therapist who can provide relief and support—and help you feel lighter today and all throughout 2026. ✨",@overgenpoverty thank you for be so real and transparent . 👏 literally going to listen to this NOW!,I still carry guilt from my divorce not fair to the kids,13,40,0.000782,1,5
mindcharity,565697,277,macro,0.9,0.8729,0.6,0.7,0.0092,0.7917,0.5924,0.35,0.3,0.2,0.15,1.0,1.0,0.75,0.95,high,False,,"Bio and captions show clear focus on mental health, but also promote events and external links.","Comments show support and engagement, but not explicitly seeking help or sharing emotional experiences.","Captions contain specific and original content, but also include generic phrases like 'you deserve it'.","Relevance 0.87, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.08% across 15 posts. Confidence high (0.95).",We sat down with @miquitaoliver for International Women’s Day.,❤️❤️❤️❤️❤️,How is it that someone can be so confused with looking for general mental health support and be manipulated by so many people just wanting to make money from someone’s suffering. Thank goodness for coming across this page. Thank you Lucas and thank you to you,15,40,0.000787,2,6
theanxietyhealer,639241,2657,macro,0.8,0.85,0.6,0.7,0.0004,1.0,0.5826,0.35,0.3,0.2,0.15,1.0,1.0,1.0,1.0,high,False,,"Instagram account focuses on issues relevant to women over 40, often related to mental health, but not exclusively mental health","Comments show emotional sharing and trust, but less help-seeking compared to highly curated mental health accounts","Posts provide specific insights and personal experiences, but sometimes lack depth and novelty","Relevance 0.85, audience intent 0.60, content depth 0.70, engagement quality 0.00. Median engagement rate 0.00% across 20 posts. Confidence high (1.00).","Here’s what most people don’t realize: the way you feel in the first 30 minutes of your morning sets the entire tone for your nervous system for the rest of the day.

Not just your mood. Your cortisol levels. Your ability to handle stress. Your anxiety baseline.

After 40, our hormones are already shifting — estrogen drops, cortisol becomes harder ",Yup this is me. But it’s grief about being childless single woman. I feel like I’m dying. I’ve convinced myself I’m dying.,the part about a different timeline not meaning a lesser life genuinely made me tear up. it takes so much courage to say these things out loud and i think a lot of women needed to hear this today,20,40,3.3e-05,3,8
sitwithwhit,566211,594,macro,0.9,0.7542,0.6,0.7,0.0181,0.3167,0.5526,0.35,0.3,0.2,0.15,0.95,1.0,1.0,0.9775,high,False,,"Bio and captions clearly indicate mental health as a focus, specifically addressing family dysfunction and healing.","Comments show engagement and appreciation, but not as much help-seeking or emotional sharing as desired.","Captions show some depth with specific topics and resources, but can be more insightful and original.","Relevance 0.75, audience intent 0.60, content depth 0.70, engagement quality 0.02. Median engagement rate 0.16% across 20 posts. Confidence high (0.98).","If we haven't met, I'm Whitney! I created @callinghome.co because family dysfunction is exhausting & you deserve support. Calling Home helps you build a better family. Join The Family Cyclebreakers Club® & listen to @thecallinghomepodcast. Comment MEMBER to join us.

PS. I am on maternity leave until June 1 and I'm not on here much. All posts have ",What are you supposed to do in these instances?,This is something I’m still unlearning in real time.,20,40,0.001552,4,10
