username,followers,following,tier,relevance_text_score,relevance_score,audience_intent_score,content_depth_score,engagement_quality_score,topic_signal_score,final_score,weight_relevance,weight_audience_intent,weight_engagement_quality,weight_content_depth,text_confidence,comment_confidence,post_confidence,confidence_score,confidence_grade,needs_review,review_reason,relevance_reason,audience_intent_reason,content_depth_reason,why_selected,sample_caption,sample_comment_1,sample_comment_2,post_count,comment_count,median_engagement_rate
mindcharity,565663,276,macro,1.0,0.8125,0.9,0.8,0.0369,0.25,0.6817,0.35,0.3,0.2,0.15,0.9018,1.0,0.35,0.8258,high,False,,Bio clearly states the account is for a mental health charity.,"Comments show help-seeking, emotional sharing, and trust.","Captions show a mix of lived experience, therapy, evidence-based education, and coping guidance.","Relevance 0.81, audience intent 0.90, content depth 0.80, engagement quality 0.04. Median engagement rate 0.32% across 7 posts. Confidence high (0.83).","Today is International Transgender Day of Visibility. This is Keb's story. If you’re trans and struggling to find people who support you, swipe to the end for services you can reach out to - or tap the link in our bio. You are not alone.",I knew I should’ve been born a girl at the age of 5 I never did transition as i grew up in the 80s and 90s and the world was different I’m still struggling everyday being trapped in the wrong body 😩,How I know if I got a mental problem 🙄,7,20,0.003159
mentalhealthamerica,296001,818,mid,0.9,0.9042,0.6,0.7,0.1478,0.9167,0.631,0.35,0.3,0.2,0.15,1.0,1.0,0.4,0.88,high,False,,"The account is dedicated to mental health and well-being, making it highly relevant.","Comments show support and agreement, but not as much help-seeking or emotional sharing.","The captions are informative and specific, but could be more insightful and original.","Relevance 0.90, audience intent 0.60, content depth 0.70, engagement quality 0.15. Median engagement rate 0.51% across 8 posts. Confidence high (0.88).","April is #AutismAwarenessMonth and today is #WorldAutismAwarenessDay. ♥️ 

Autism is a way some people’s brains work differently. Autistic people may prefer routines, focus deeply on their interests, and see the world in unique ways. These differences should be accepted and supported, not “fixed.” Behaviors like masking, or feeling pressured to beh","Yes, absolutely 🙌",This is a message that I think many people need to hear right now as situations in the world signal to them that they are lesser or not enough. Here's to striving towards a world where that is not the message and all people feel valued 💚,8,20,0.005051
sitwithwhit,566191,594,macro,0.9,0.7375,0.7,0.8,0.0162,0.25,0.5914,0.35,0.3,0.2,0.15,0.95,1.0,0.4,0.8575,high,False,,"The account is primarily about mental health, focusing on family dynamics, estrangement, and personal growth.","Comments show engagement and appreciation, but fewer help-seeking or emotional sharing instances were found.","Captions show some insight and originality, providing nuanced perspectives on complex family issues.","Relevance 0.74, audience intent 0.70, content depth 0.80, engagement quality 0.02. Median engagement rate 0.14% across 8 posts. Confidence high (0.86).",Underneath all this conversations about boundaries is just a desire to be considered. You want people to show they care when they hurt you.,@stop_hitting_children he was just a man. Not responding to name calling isn't some insurmountable feat. It just takes maturity.,I’ve just going your feed … thanks! Is there a post anywhere that talks about maintaining the new relationship between daughter and mother after some enmeshing?,8,20,0.00139
therapyjeff,1521446,1252,major,0.8,0.6313,0.7,0.6,0.2274,0.125,0.5664,0.35,0.3,0.2,0.15,0.7051,1.0,0.4,0.7473,medium,False,,"Instagram account focuses on relationships and therapy, but also covers broader topics like politics and dating advice.","Comments show help-seeking, emotional sharing, and trust, indicating a strong mental health audience intent.","Captions offer some insightful and specific advice, but also include generic relationship tips and minor anecdotes.","Relevance 0.63, audience intent 0.70, content depth 0.60, engagement quality 0.23. Median engagement rate 0.97% across 8 posts. Confidence medium (0.75).","We need to talk about privacy versus secrecy

#mentalhealth #therapy #relationshiptips #dating #datingadvice","I appreciate this today.  I told my mom i needed space. She neglected me most of my life.  She did it again on my bday &when i said,  hey,  that hurt,  i got how terrible i am back.  i Just had enough",Most of my partner's friends are women 😂,8,20,0.009729
mentalhealthmatch,32167,2571,micro,0.9,0.7854,0.6,0.7,0.0073,0.4417,0.5613,0.35,0.3,0.2,0.15,0.86,0.9,0.35,0.772,high,False,,"Instagram account focuses on mental health, but also promotes the brand and its services.","Comments show some engagement with mental health topics, but also include generic positive reactions and unrelated content.","Captions provide some insight into mental health topics, but also include generic phrases and emojis.","Relevance 0.79, audience intent 0.60, content depth 0.70, engagement quality 0.01. Median engagement rate 0.06% across 7 posts. Confidence high (0.77).","💪🏿💪🏽💪🏼 All couples fight. 💪🏿💪🏽💪🏼 ⁠
⁠
Ironically, it's one of the most important parts of relationship. And couples that fight ""well"" -- in a way that resolves conflict rather than perpetuates it -- are more likely to stay together happily. ⁠
⁠
The same is true for other relationships in our life, too.⁠
⁠
But we're rarely taught that fighting is goo",Yes !,#therapy #mentalhealthtips #anxious,7,18,0.000622
therapyforwomen,464637,989,mid,0.8,0.7313,0.6,0.7,0.0914,0.525,0.5592,0.35,0.3,0.2,0.15,1.0,1.0,0.4,0.88,high,False,,"Bio and some captions are related to mental health, but it's not the primary focus.","Comments show agreement and excitement, but not help-seeking or emotional sharing.","Captions are generally insightful and specific, but not consistently.","Relevance 0.73, audience intent 0.60, content depth 0.70, engagement quality 0.09. Median engagement rate 0.78% across 8 posts. Confidence high (0.88).","I’m TIRED y’all. 

Catchphrases flatten complex experiences into rigid rules. Peace doesn’t always mean avoidance. Healing isn’t linear. And you don’t need to be “fully healed” to deserve connection. Growth happens in nuance, not absolutes.
•
•
•
For more conversations that bring nuance back to the internet, listen to my podcast, Nuance Needed, and",Yes. This exactly. YES.,"I agree. 'Protect your peace' peace can be found after the hard convo, likely even more peace.",8,20,0.007831
active_minds,71609,1370,mid,0.9,0.6813,0.6,0.7,0.0285,0.025,0.5291,0.35,0.3,0.2,0.15,0.845,1.0,0.4,0.8102,high,False,,"Instagram account focuses on mental health awareness and education, promoting programs and resources.","Comments show support and appreciation, but few express personal struggles or strong help-seeking behavior.","Captions provide specific information about programs and mental health support, but lack deeply personal or insightful experiences.","Relevance 0.68, audience intent 0.60, content depth 0.70, engagement quality 0.03. Median engagement rate 0.24% across 8 posts. Confidence high (0.81).",💚,You deserve self-care 🫶🫶 It will never be selfish,"Taking breaks are so essential for your health, yet it becomes so easy to forget 💔 What an important reminder!",8,20,0.002444
selfcareisforeveryone,1029808,1296,macro,0.8,0.6729,0.5,0.6,0.089,0.2917,0.4933,0.35,0.3,0.2,0.15,0.95,1.0,0.35,0.8475,high,False,,Bio and some posts are related to mental health.,Comments show support and positivity but not explicitly seeking help or sharing emotional experiences.,"While captions show some depth, they also include generic motivation quotes and prompts.","Relevance 0.67, audience intent 0.50, content depth 0.60, engagement quality 0.09. Median engagement rate 0.00% across 7 posts. Confidence high (0.85).","life has been… full. 🦋

behind the scenes, we’ve been thinking deeply about where @selfcareisforeveryone is going… how we want to keep showing up… and how to build it up from here so that it supports people in real & needed ways.

and in the middle of all of that, we’ve also just been… human.

a little overwhelmed at times.
a lot in our heads.
doin",Needed this today❤️,Happy Birthday queen❤️,7,20,1.7e-05
the.holistic.psychologist,9071143,1764,major,0.8,0.7979,0.4,0.6,0.0166,0.7917,0.4926,0.35,0.3,0.2,0.15,0.98,1.0,0.4,0.871,high,False,,"The account is largely about the instructor's teachings, book, and community, with some mention of healing and personal development which is relevant to mental health.","The comments suggest that the audience is interested in the instructor's teachings and community, but there are few examples of help-seeking or emotional sharing. The comments are generally positive and supportive, but not deeply personal or revealing.","While the captions are specific to the instructor's teachings and experiences, they don't always provide in-depth or original insights on mental health. Some captions are more promotional in nature.","Relevance 0.80, audience intent 0.40, content depth 0.60, engagement quality 0.02. Median engagement rate 0.14% across 8 posts. Confidence high (0.87).",Honor her by refusing to settle. How do YOU honor your mother? #selfhealers,Wow so true,I feel like it’s too late for me as a single mother of 3 girls. I’m doing everything in my power to educate my girls and make sure they know that motherhood is the ultimate responsibility and shouldn’t be entered into lightly. My mother sold me into marriage and pressured me into,8,20,0.001424
theanxietyhealer,639231,2656,macro,0.6,0.6125,0.5,0.4,0.031,0.65,0.4306,0.35,0.3,0.2,0.15,1.0,1.0,0.4,0.88,high,False,,"Content is targeted towards women over 40, but it's not strictly mental health focused.",Comments show engagement but not explicitly seeking mental health help or sharing emotional experiences.,Captions are specific to the target audience but lack depth in mental health education or guidance.,"Relevance 0.61, audience intent 0.50, content depth 0.40, engagement quality 0.03. Median engagement rate 0.27% across 8 posts. Confidence high (0.88).",i saw this post from @wittyidiot and needed to share!! Which Golden Girl are you? #over40women #over50women #over60women,I freak the fuck out ... And I block when this happens lol,"I spent the day with my dad in his nursing home. We enjoyed the time spent together but I never thought this is what my Easter would look like at age 43. (Recently married, no kids)",8,20,0.002653
